Time,Flow_Rate,Pressure
0.061,696.308989234626,300000.112741075
0.062,695.601719615908,300000.112741075
0.063,694.938158055261,300000.112741075
0.064,694.315783356717,300000.112741075
0.065,693.732208913129,300000.112741075
0.066,693.185174229061,300000.112741075
0.067,692.672537707303,300000.112741075
0.068,692.192270381508,300000.112741075
0.069,691.742450354091,300000.112741075
0.07,691.321257758788,300000.112741075
0.071,690.926970114185,300000.112741075
0.072,690.557957970819,300000.112741075
0.073,690.212680782193,300000.112741075
0.074,689.889682951053,300000.112741075
0.075,689.58759001801,300000.112741075
0.076,689.305104971102,300000.112741075
0.077,689.041004663293,300000.112741075
0.078,688.794136330743,300000.112741075
0.079,688.563414208749,300000.112741075
0.08,688.347816244814,300000.112741075
0.081,688.146380909915,300000.112741075
0.082,687.958204109837,300000.112741075
0.083,687.782436198719,300000.112741075
0.084,687.618279096884,300000.112741075
0.085,687.4649835147,300000.112741075
0.086,687.321846283716,300000.112741075
0.087,687.188207795811,300000.112741075
0.088,687.063449550472,300000.112741075
0.089,686.946991809779,300000.112741075
0.09,686.838291360108,300000.112741075
0.091,686.736839379081,300000.112741075
0.092,686.642159405853,300000.112741075
0.093,686.553805412435,300000.112741075
0.094,686.471359973431,300000.112741075
0.095,686.394432531302,300000.112741075
0.096,686.322657754065,300000.112741075
0.097,686.255693982153,300000.112741075
0.098,686.193221761071,300000.112741075
0.099,686.134942456395,300000.112741075
0.1,686.722564395861,300000.754728523
0.101,686.671851845582,300000.754728523
0.102,686.624548540581,300000.754728523
0.103,686.580426801313,300000.754728523
0.104,686.539273956458,300000.754728523
0.105,686.500891379223,300000.754728523
0.106,686.465093582187,300000.754728523
0.107,686.431707367559,300000.754728523
0.108,686.400571029856,300000.754728523
0.109,686.371533608096,300000.754728523
0.11,686.344454184718,300000.754728523
0.111,686.31920122858,300000.754728523
0.112,686.295651979457,300000.754728523
0.113,686.27369187164,300000.754728523
0.114,686.253213994302,300000.754728523
0.115,686.234118586436,300000.754728523
0.116,686.216312564278,300000.754728523
0.117,686.199709079233,300000.754728523
0.118,686.184227104441,300000.754728523
0.119,686.169791048194,300000.754728523
0.12,686.156330392552,300000.754728523
0.121,686.143779355562,300000.754728523
0.122,686.132076575606,300000.754728523
0.123,686.121164816468,300000.754728523
0.124,686.110990691806,300000.754728523
0.125,686.101504407786,300000.754728523
0.126,686.092659522715,300000.754728523
0.127,686.084412722571,300000.754728523
0.128,686.076723611413,300000.754728523
0.129,686.069554515696,300000.754728523
0.13,686.062870301587,300000.754728523
0.131,686.056638204447,300000.754728523
0.132,686.050827669656,300000.754728523
0.133,686.045410204067,300000.754728523
0.134,686.040359237374,300000.754728523
0.135,686.03564999274,300000.754728523
0.136,686.031259366078,300000.754728523
0.137,686.027165813422,300000.754728523
0.138,686.023349245827,300000.754728523
0.139,686.019790931335,300000.754728523
0.14,686.016473403496,300000.754728523
0.141,686.01338037605,300000.754728523
0.142,686.010496663323,300000.754728523
0.143,686.007808105984,300000.754728523
0.144,686.005301501788,300000.754728523
0.145,686.002964540979,300000.754728523
0.146,686.000785746039,300000.754728523
0.147,685.998754415501,300000.754728523
0.148,685.996860571531,300000.754728523
0.149,685.995094911058,300000.754728523
0.15,685.993448760187,300000.754728523
0.151,685.99191403169,300000.754728523
0.152,685.990483185363,300000.754728523
0.153,685.989149191054,300000.754728523
0.154,685.98790549419,300000.754728523
0.155,685.986745983631,300000.754728523
0.156,685.985664961685,300000.754728523
0.157,685.98465711616,300000.754728523
0.158,685.983717494295,300000.754728523
0.159,685.982841478454,300000.754728523
0.16,685.982024763461,300000.754728523
0.161,685.981263335469,300000.754728523
0.162,685.980553452252,300000.754728523
0.163,685.979891624835,300000.754728523
0.164,685.979274600361,300000.754728523
0.165,685.978699346116,300000.754728523
0.166,685.978163034639,300000.754728523
0.167,685.977663029829,300000.754728523
0.168,685.977196874006,300000.754728523
0.169,685.976762275831,300000.754728523
0.17,685.976357099054,300000.754728523
0.171,685.975979352018,300000.754728523
0.172,685.975627177876,300000.754728523
0.173,685.975298845467,300000.754728523
0.174,685.974992740809,300000.754728523
0.175,685.974707359171,300000.754728523
