method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale,missed,detection_delay_hours,leak_start_time,leak_end_time
Hybrid,p827,2019-01-24 18:30:00,2019-01-23 00:00:00,abrupt,2019.0,True,True,False,2019-01-25 16:20:00,21.833333333333332,,,,False,21.833333333333332,2019-01-24 18:30:00,2019-02-07 09:05:00
CUSUM,p280,2019-02-10 13:05:00,2019-02-09 00:00:00,abrupt,2019.0,True,True,False,2019-02-15 22:35:00,129.5,46.75034424769492,1.5156527158117827,0.7791724041282486,False,129.5,2019-02-10 13:05:00,2019-12-31 23:55:00
XBarFDM,p280,2019-02-10 13:05:00,2019-02-09 00:00:00,abrupt,2019.0,True,True,False,2019-03-18 09:25:00,860.3333333333334,2.7911980387167508,-0.0811718820988034,0.7180924802038885,False,860.3333333333334,2019-02-10 13:05:00,2019-12-31 23:55:00
Hybrid,p280,2019-02-10 13:05:00,2019-02-09 00:00:00,abrupt,2019.0,True,True,False,2019-02-15 22:35:00,129.5,,,,False,129.5,2019-02-10 13:05:00,2019-12-31 23:55:00
CUSUM,p653,2019-03-03 13:10:00,2019-03-02 00:00:00,incipient,2019.0,True,True,False,2019-03-05 18:15:00,53.083333333333336,45.11473018847464,1.2258957588373522,0.7519121698079106,False,53.083333333333336,2019-03-03 13:10:00,2019-05-05 12:10:00
XBarFDM,p653,2019-03-03 13:10:00,2019-03-02 00:00:00,incipient,2019.0,True,True,False,2019-04-04 08:05:00,762.9166666666666,2.559879084995861,0.037508080949644286,0.6305927510115542,False,762.9166666666666,2019-03-03 13:10:00,2019-05-05 12:10:00
Hybrid,p653,2019-03-03 13:10:00,2019-03-02 00:00:00,incipient,2019.0,True,True,False,2019-03-05 18:15:00,53.083333333333336,,,,False,53.083333333333336,2019-03-03 13:10:00,2019-05-05 12:10:00
CUSUM,p710,2019-03-24 14:15:00,2019-03-23 00:00:00,abrupt,2019.0,True,True,False,2019-04-04 11:05:00,260.8333333333333,55.34987801943204,1.7771280921415582,0.922497966990534,False,260.8333333333333,2019-03-24 14:15:00,2019-12-31 23:55:00
XBarFDM,p710,2019-03-24 14:15:00,2019-03-23 00:00:00,abrupt,2019.0,True,True,False,2019-04-04 08:40:00,258.4166666666667,2.7234451038869167,-0.25005387807612417,0.7433747454907602,False,258.4166666666667,2019-03-24 14:15:00,2019-12-31 23:55:00
Hybrid,p710,2019-03-24 14:15:00,2019-03-23 00:00:00,abrupt,2019.0,True,True,False,2019-04-04 08:40:00,258.4166666666667,,,,False,258.4166666666667,2019-03-24 14:15:00,2019-12-31 23:55:00
